@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2019/02/13 09:18:43:688',1,8,99,101,101,1
2,'2019/02/13 09:18:43:797',1,6,97,104,104,1
3,'2019/02/13 09:18:43:891',1,6,97,105,105,1
4,'2019/02/13 09:18:44:004',1,6,97,105,105,1
5,'2019/02/13 09:18:44:092',1,6,97,104,104,1
6,'2019/02/13 09:18:44:199',1,7,97,105,105,1
7,'2019/02/13 09:18:44:330',1,7,97,105,105,1
8,'2019/02/13 09:18:44:424',1,8,96,105,105,1
9,'2019/02/13 09:18:44:517',1,8,94,106,106,1
10,'2019/02/13 09:18:44:611',1,9,91,107,107,1
11,'2019/02/13 09:18:44:705',1,10,89,109,109,1
12,'2019/02/13 09:18:44:814',1,13,89,107,107,1
13,'2019/02/13 09:18:44:908',1,14,85,110,110,1
14,'2019/02/13 09:18:45:013',1,17,84,109,109,1
15,'2019/02/13 09:18:45:109',1,18,82,111,111,1
16,'2019/02/13 09:18:45:203',1,23,79,111,111,1
17,'2019/02/13 09:18:45:297',1,26,78,112,112,1
18,'2019/02/13 09:18:45:391',1,28,76,115,115,1
19,'2019/02/13 09:18:45:484',1,34,76,112,112,1
20,'2019/02/13 09:18:45:594',1,38,76,113,113,1
21,'2019/02/13 09:18:45:687',1,41,74,111,111,1
22,'2019/02/13 09:18:45:781',1,42,71,111,111,1
23,'2019/02/13 09:18:45:875',1,45,69,110,110,1
24,'2019/02/13 09:18:45:980',1,47,67,110,110,1
25,'2019/02/13 09:18:46:076',1,50,63,112,112,1
26,'2019/02/13 09:18:46:170',1,52,59,113,113,1
27,'2019/02/13 09:18:46:264',1,53,54,114,114,1
28,'2019/02/13 09:18:46:357',1,54,53,114,114,1
29,'2019/02/13 09:18:46:456',1,55,48,115,115,1
30,'2019/02/13 09:18:46:549',1,54,43,117,117,1
31,'2019/02/13 09:18:46:643',1,55,40,119,119,1
32,'2019/02/13 09:18:46:737',1,56,37,121,121,1
33,'2019/02/13 09:18:46:831',1,59,34,122,122,1
34,'2019/02/13 09:18:46:924',1,62,34,119,119,1
35,'2019/02/13 09:18:47:030',1,65,30,122,122,1
36,'2019/02/13 09:18:47:124',1,67,30,121,121,1
37,'2019/02/13 09:18:47:233',1,72,29,121,121,1
38,'2019/02/13 09:18:47:327',1,74,28,121,121,1
39,'2019/02/13 09:18:47:432',1,79,28,119,119,1
40,'2019/02/13 09:18:47:532',1,82,27,118,118,1
41,'2019/02/13 09:18:47:626',1,84,27,118,118,1
42,'2019/02/13 09:18:47:719',1,87,28,117,117,1
43,'2019/02/13 09:18:47:813',1,89,25,116,116,1
44,'2019/02/13 09:18:47:922',1,92,24,117,117,1
45,'2019/02/13 09:18:48:016',1,96,21,118,118,1
46,'2019/02/13 09:18:48:110',1,100,17,118,118,1
47,'2019/02/13 09:18:48:219',1,105,12,116,116,1
48,'2019/02/13 09:18:48:313',1,109,8,114,114,1
49,'2019/02/13 09:18:48:406',1,115,5,111,111,1
50,'2019/02/13 09:18:48:516',1,119,3,109,109,1
51,'2019/02/13 09:18:48:625',1,123,2,107,107,1
52,'2019/02/13 09:18:48:719',1,130,1,103,103,1
53,'2019/02/13 09:18:51:901',1,9,1,101,101,1
54,'2019/02/13 09:18:52:012',1,9,1,102,102,1
55,'2019/02/13 09:18:52:093',1,6,3,102,102,1
56,'2019/02/13 09:18:52:204',1,4,5,101,101,1
57,'2019/02/13 09:18:52:302',1,2,6,103,103,1
58,'2019/02/13 09:18:52:395',1,1,10,99,99,1
59,'2019/02/13 09:18:52:489',1,2,13,96,96,1
60,'2019/02/13 09:18:52:598',1,0,17,96,96,1
61,'2019/02/13 09:18:53:076',1,1,15,99,99,1
62,'2019/02/13 09:18:53:170',1,3,16,102,102,1
63,'2019/02/13 09:18:53:264',1,3,13,106,106,1
64,'2019/02/13 09:18:53:358',1,6,12,111,111,1
65,'2019/02/13 09:18:53:455',1,7,11,112,112,1
66,'2019/02/13 09:18:53:548',1,13,12,113,113,1
67,'2019/02/13 09:18:53:642',1,17,11,117,117,1
68,'2019/02/13 09:18:53:751',1,24,11,117,117,1
69,'2019/02/13 09:18:53:845',1,30,11,118,118,1
70,'2019/02/13 09:18:53:939',1,37,12,116,116,1
71,'2019/02/13 09:18:54:031',1,42,13,115,115,1
72,'2019/02/13 09:18:54:125',1,47,13,115,115,1
73,'2019/02/13 09:18:54:222',1,50,12,117,117,1
74,'2019/02/13 09:18:54:316',1,52,12,117,117,1
75,'2019/02/13 09:18:54:425',1,56,14,115,115,1
76,'2019/02/13 09:18:54:519',1,57,13,117,117,1
77,'2019/02/13 09:18:54:612',1,56,14,117,117,1
78,'2019/02/13 09:18:54:706',1,52,13,119,119,1
79,'2019/02/13 09:18:54:800',1,49,14,118,118,1
80,'2019/02/13 09:18:54:909',1,43,13,119,119,1
81,'2019/02/13 09:18:55:005',1,38,12,120,120,1
82,'2019/02/13 09:18:55:091',1,36,12,119,119,1
83,'2019/02/13 09:18:55:185',1,35,12,120,120,1
84,'2019/02/13 09:18:55:295',1,38,12,118,118,1
85,'2019/02/13 09:18:55:388',1,42,12,117,117,1
86,'2019/02/13 09:18:55:485',1,46,11,120,120,1
87,'2019/02/13 09:18:55:579',1,53,12,118,118,1
88,'2019/02/13 09:18:55:672',1,58,12,118,118,1
89,'2019/02/13 09:18:55:766',1,64,11,118,118,1
90,'2019/02/13 09:18:55:875',1,69,11,116,116,1
91,'2019/02/13 09:18:55:977',1,76,10,115,115,1
92,'2019/02/13 09:18:56:061',1,78,9,119,119,1
93,'2019/02/13 09:18:56:170',1,84,10,116,116,1
94,'2019/02/13 09:18:56:264',1,86,8,117,117,1
95,'2019/02/13 09:18:56:358',1,89,9,116,116,1
96,'2019/02/13 09:18:56:453',1,91,8,113,113,1
97,'2019/02/13 09:18:56:547',1,93,8,114,114,1
98,'2019/02/13 09:18:56:656',1,95,9,113,113,1
99,'2019/02/13 09:18:56:781',1,96,8,113,113,1
100,'2019/02/13 09:18:57:031',1,97,6,116,116,1
101,'2019/02/13 09:18:57:125',1,104,6,109,109,1
102,'2019/02/13 09:18:57:219',1,104,4,112,112,1
103,'2019/02/13 09:18:57:312',1,107,3,108,108,1
104,'2019/02/13 09:18:57:425',1,112,3,107,107,1
105,'2019/02/13 09:18:57:516',1,112,3,112,112,1
106,'2019/02/13 09:18:57:610',1,110,4,115,115,1
107,'2019/02/13 09:18:57:719',1,109,6,115,115,1
108,'2019/02/13 09:18:57:813',1,107,8,114,114,1
109,'2019/02/13 09:18:57:906',1,106,9,115,115,1
110,'2019/02/13 09:18:58:014',1,104,11,114,114,1
111,'2019/02/13 09:18:58:108',1,104,14,109,109,1
112,'2019/02/13 09:18:58:202',1,102,15,109,109,1
113,'2019/02/13 09:18:58:311',1,99,15,109,109,1
114,'2019/02/13 09:18:58:427',1,96,13,109,109,1
115,'2019/02/13 09:18:58:516',1,92,12,109,109,1
116,'2019/02/13 09:18:58:610',1,86,11,109,109,1
117,'2019/02/13 09:18:58:719',1,80,11,109,109,1
118,'2019/02/13 09:18:58:813',1,74,10,111,111,1
119,'2019/02/13 09:18:58:906',1,70,9,113,113,1
120,'2019/02/13 09:18:59:014',1,68,10,113,113,1
121,'2019/02/13 09:18:59:108',1,68,10,112,112,1
122,'2019/02/13 09:18:59:201',1,69,10,112,112,1
123,'2019/02/13 09:18:59:311',1,71,10,110,110,1
124,'2019/02/13 09:18:59:409',1,73,10,111,111,1
125,'2019/02/13 09:18:59:501',1,72,9,114,114,1
126,'2019/02/13 09:18:59:595',1,75,10,113,113,1
127,'2019/02/13 09:18:59:704',1,78,11,112,112,1
128,'2019/02/13 09:18:59:798',1,78,11,113,113,1
129,'2019/02/13 09:18:59:891',1,81,12,113,113,1
130,'2019/02/13 09:18:59:997',1,83,13,113,113,1
131,'2019/02/13 09:19:00:091',1,84,14,113,113,1
132,'2019/02/13 09:19:00:185',1,85,13,114,114,1
133,'2019/02/13 09:19:00:295',1,84,13,114,114,1
134,'2019/02/13 09:19:00:388',1,85,13,112,112,1
135,'2019/02/13 09:19:00:485',1,84,13,112,112,1
136,'2019/02/13 09:19:00:589',1,85,13,112,112,1
137,'2019/02/13 09:19:00:682',1,85,12,113,113,1
138,'2019/02/13 09:19:00:776',1,86,13,113,113,1
139,'2019/02/13 09:19:00:885',1,88,12,112,112,1
140,'2019/02/13 09:19:00:981',1,91,10,111,111,1
141,'2019/02/13 09:19:01:076',1,94,7,109,109,1
142,'2019/02/13 09:19:01:170',1,97,4,107,107,1
143,'2019/02/13 09:19:01:279',1,100,2,103,103,1
144,'2019/02/13 09:19:01:373',1,105,0,98,98,1
145,'2019/02/13 09:19:03:107',1,106,0,92,92,1
146,'2019/02/13 09:19:03:217',1,93,4,97,97,1
147,'2019/02/13 09:19:03:311',1,87,6,100,100,1
148,'2019/02/13 09:19:03:413',1,82,9,101,101,1
149,'2019/02/13 09:19:03:500',1,76,12,102,102,1
150,'2019/02/13 09:19:03:594',1,73,13,106,106,1
151,'2019/02/13 09:19:03:703',1,69,15,107,107,1
152,'2019/02/13 09:19:03:797',1,67,17,106,106,1
153,'2019/02/13 09:19:03:891',1,63,19,104,104,1
154,'2019/02/13 09:19:03:983',1,58,18,105,105,1
155,'2019/02/13 09:19:04:092',1,54,17,107,107,1
156,'2019/02/13 09:19:04:185',1,50,15,108,108,1
157,'2019/02/13 09:19:04:279',1,44,14,109,109,1
158,'2019/02/13 09:19:04:373',1,42,16,107,107,1
159,'2019/02/13 09:19:04:469',1,38,15,110,110,1
160,'2019/02/13 09:19:04:563',1,35,15,113,113,1
