@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
249,'2019/02/19 23:26:19:021',3,11,10,9,0,0,0
250,'2019/02/19 23:26:19:032',3,11,9,9,0,0,0
251,'2019/02/19 23:26:19:040',3,12,9,10,0,0,0
252,'2019/02/19 23:26:19:040',3,11,9,10,0,0,0
253,'2019/02/19 23:26:19:063',3,12,10,9,0,0,0
254,'2019/02/19 23:26:19:073',3,12,10,10,0,0,0
255,'2019/02/19 23:26:19:084',3,12,10,9,0,0,0
256,'2019/02/19 23:26:19:094',3,12,8,9,0,0,0
257,'2019/02/19 23:26:19:103',3,13,10,9,0,0,0
258,'2019/02/19 23:26:19:113',3,12,10,9,0,0,0
259,'2019/02/19 23:26:19:123',3,11,10,9,0,0,0
260,'2019/02/19 23:26:19:133',3,12,10,9,0,0,0
261,'2019/02/19 23:26:19:144',3,12,11,9,0,0,0
262,'2019/02/19 23:26:19:153',3,12,10,10,0,0,0
263,'2019/02/19 23:26:19:163',3,12,9,9,0,0,0
264,'2019/02/19 23:26:19:173',3,12,11,10,0,0,0
265,'2019/02/19 23:26:19:183',3,13,10,10,0,0,0
266,'2019/02/19 23:26:19:193',3,11,10,10,0,0,0
267,'2019/02/19 23:26:19:203',3,12,10,11,0,0,0
268,'2019/02/19 23:26:19:213',3,11,10,10,0,0,0
269,'2019/02/19 23:26:19:223',3,13,10,9,0,0,0
270,'2019/02/19 23:26:19:233',3,13,9,10,0,0,0
271,'2019/02/19 23:26:19:244',3,12,9,10,0,0,0
272,'2019/02/19 23:26:19:253',3,13,9,9,0,0,0
273,'2019/02/19 23:26:19:263',3,13,9,9,0,0,0
274,'2019/02/19 23:26:19:273',3,11,9,9,0,0,0
275,'2019/02/19 23:26:19:284',3,12,9,9,0,0,0
276,'2019/02/19 23:26:19:294',3,11,10,9,0,0,0
277,'2019/02/19 23:26:19:304',3,12,9,10,0,0,0
278,'2019/02/19 23:26:19:314',3,12,10,9,0,0,0
279,'2019/02/19 23:26:19:322',3,12,10,10,0,0,0
280,'2019/02/19 23:26:19:334',3,13,10,9,0,0,0
281,'2019/02/19 23:26:19:344',3,12,10,9,0,0,0
282,'2019/02/19 23:26:19:353',3,12,10,9,0,0,0
283,'2019/02/19 23:26:19:363',3,11,10,9,0,0,0
284,'2019/02/19 23:26:19:373',3,12,10,9,0,0,0
285,'2019/02/19 23:26:19:383',3,12,9,10,0,0,0
286,'2019/02/19 23:26:19:394',3,12,8,8,0,0,0
287,'2019/02/19 23:26:19:402',3,13,10,8,0,0,0
288,'2019/02/19 23:26:19:413',3,13,10,9,0,0,0
289,'2019/02/19 23:26:19:423',3,12,10,10,0,0,0
290,'2019/02/19 23:26:19:432',3,11,10,9,0,0,0
291,'2019/02/19 23:26:19:443',3,13,10,9,0,0,0
292,'2019/02/19 23:26:19:453',3,13,11,9,0,0,0
293,'2019/02/19 23:26:19:463',3,12,10,9,0,0,0
294,'2019/02/19 23:26:19:474',3,13,10,10,0,0,0
295,'2019/02/19 23:26:19:483',3,12,10,9,0,0,0
296,'2019/02/19 23:26:19:494',3,12,10,10,0,0,0
297,'2019/02/19 23:26:19:504',3,12,11,10,0,0,0
298,'2019/02/19 23:26:19:513',3,13,10,9,0,0,0
299,'2019/02/19 23:26:19:524',3,13,10,10,0,0,0
300,'2019/02/19 23:26:19:533',3,13,9,9,0,0,0
301,'2019/02/19 23:26:19:544',3,12,9,10,0,0,0
302,'2019/02/19 23:26:19:554',3,13,10,10,0,0,0
303,'2019/02/19 23:26:19:563',3,12,10,10,0,0,0
304,'2019/02/19 23:26:19:573',3,13,10,10,0,0,0
305,'2019/02/19 23:26:19:583',3,12,10,10,0,0,0
306,'2019/02/19 23:26:19:593',3,12,10,10,0,0,0
307,'2019/02/19 23:26:19:603',3,12,10,10,0,0,0
308,'2019/02/19 23:26:19:613',3,12,10,10,0,0,0
309,'2019/02/19 23:26:19:624',3,12,10,10,0,0,0
310,'2019/02/19 23:26:19:633',3,13,9,9,0,0,0
311,'2019/02/19 23:26:19:643',3,12,10,9,0,0,0
312,'2019/02/19 23:26:19:653',3,12,9,10,0,0,0
313,'2019/02/19 23:26:19:662',3,12,9,10,0,0,0
314,'2019/02/19 23:26:19:673',3,13,10,9,0,0,0
315,'2019/02/19 23:26:19:683',3,12,10,9,0,0,0
316,'2019/02/19 23:26:19:694',3,13,11,9,0,0,0
317,'2019/02/19 23:26:19:704',3,12,10,9,0,0,0
318,'2019/02/19 23:26:19:714',3,13,8,9,0,0,0
319,'2019/02/19 23:26:19:723',3,12,10,10,0,0,0
320,'2019/02/19 23:26:19:733',3,12,10,10,0,0,0
321,'2019/02/19 23:26:19:743',3,12,9,10,0,0,0
322,'2019/02/19 23:26:19:753',3,12,10,10,0,0,0
323,'2019/02/19 23:26:19:763',3,12,10,9,0,0,0
324,'2019/02/19 23:26:19:773',3,12,10,10,0,0,0
325,'2019/02/19 23:26:19:847',3,12,10,10,0,0,0
326,'2019/02/19 23:26:19:847',3,12,10,10,0,0,0
327,'2019/02/19 23:26:19:865',3,11,10,10,0,0,0
328,'2019/02/19 23:26:19:873',3,12,10,9,0,0,0
329,'2019/02/19 23:26:19:885',3,12,11,9,0,0,0
330,'2019/02/19 23:26:19:894',3,13,9,9,0,0,0
331,'2019/02/19 23:26:19:904',3,12,9,10,0,0,0
332,'2019/02/19 23:26:19:914',3,12,9,10,0,0,0
333,'2019/02/19 23:26:19:924',3,13,10,10,0,0,0
334,'2019/02/19 23:26:19:935',3,11,10,9,0,0,0
335,'2019/02/19 23:26:19:945',3,12,9,10,0,0,0
336,'2019/02/19 23:26:19:955',3,12,10,10,0,0,0
337,'2019/02/19 23:26:19:965',3,13,10,9,0,0,0
338,'2019/02/19 23:26:19:973',3,12,9,8,0,0,0
339,'2019/02/19 23:26:19:985',3,12,10,10,0,0,0
340,'2019/02/19 23:26:19:995',3,12,9,9,0,0,0
341,'2019/02/19 23:26:20:003',3,13,9,9,0,0,0
342,'2019/02/19 23:26:20:014',3,12,10,10,0,0,0
343,'2019/02/19 23:26:20:024',3,12,9,8,0,0,0
344,'2019/02/19 23:26:20:033',3,12,9,9,0,0,0
345,'2019/02/19 23:26:20:044',3,13,9,9,0,0,0
346,'2019/02/19 23:26:20:055',3,13,10,9,0,0,0
347,'2019/02/19 23:26:20:055',3,12,9,9,0,0,0
348,'2019/02/19 23:26:20:074',3,13,10,10,0,0,0
349,'2019/02/19 23:26:20:085',3,11,10,10,0,0,0
350,'2019/02/19 23:26:20:085',3,14,9,9,0,0,0
351,'2019/02/19 23:26:20:105',3,12,10,10,0,0,0
352,'2019/02/19 23:26:20:115',3,12,10,9,0,0,0
353,'2019/02/19 23:26:20:125',3,12,9,9,0,0,0
354,'2019/02/19 23:26:20:136',3,12,10,10,0,0,0
355,'2019/02/19 23:26:20:136',3,13,10,10,0,0,0
356,'2019/02/19 23:26:20:156',3,12,10,10,0,0,0
357,'2019/02/19 23:26:20:166',3,12,9,10,0,0,0
358,'2019/02/19 23:26:20:176',3,12,10,9,0,0,0
359,'2019/02/19 23:26:20:187',3,12,10,10,0,0,0
360,'2019/02/19 23:26:20:196',3,11,10,9,0,0,0
361,'2019/02/19 23:26:20:206',3,12,9,11,0,0,0
362,'2019/02/19 23:26:20:217',3,12,9,10,0,0,0
363,'2019/02/19 23:26:20:227',3,12,10,10,0,0,0
364,'2019/02/19 23:26:20:237',3,12,10,10,0,0,0
365,'2019/02/19 23:26:20:246',3,13,10,10,0,0,0
366,'2019/02/19 23:26:20:256',3,12,10,9,0,0,0
367,'2019/02/19 23:26:20:266',3,12,10,9,0,0,0
368,'2019/02/19 23:26:20:273',3,12,10,10,0,0,0
369,'2019/02/19 23:26:20:286',3,12,10,10,0,0,0
370,'2019/02/19 23:26:20:296',3,12,10,9,0,0,0
371,'2019/02/19 23:26:20:306',3,13,10,10,0,0,0
